grupo;codigo;codigo_pai;nivel;lancavel;usa_tipo_folha;rotulo_curto;atividade_completa;entrega_esperada
EFETIVOS;1;;1;SIM;NAO;Realizar cálculo retroativo;Realizar cálculo retroativo;
EFETIVOS;2;;1;SIM;NAO;Gerar relatórios de conferência da folha;Gerar relatórios de conferência da folha;
EFETIVOS;3;;1;SIM;NAO;DCAP judicial;Gerar DCAP judicial e encaminhar para o financeiro;
EFETIVOS;4;;1;SIM;NAO;DCAP mensal;Gerar DCAP e encaminhar para o financeiro;
EFETIVOS;5;;1;SIM;NAO;Realizar lançamento dos dados encaminhados;Realizar lançamento dos dados encaminhados pelo pró-saúde, funpresp, uso de telefonia, CEFOR, ADESP, progressão, frequência;
EFETIVOS;6;;1;SIM;NAO;Impacto orçamentário de novas posses;Elaborar planilha de impacto orçamentário para posse de novos servidores;
EFETIVOS;7;;1;SIM;NAO;Planilha de simulação de remuneração;Disponibilizar planilha de simulação de remuneração para os servidores;
EFETIVOS;8;;1;SIM;NAO;Cadastro de pensões alimentícias;"Calcular, revisar e manter o cadastro de pensões alimentícias;";
EFETIVOS;9;;1;SIM;NAO;Descontos de penhora judicial;"Lançar, acompanhar e controlar os descontos em folha das penhoras judiciais;";
EFETIVOS;10;;1;SIM;NAO;Expedir declarações;"Expedir declarações;";
EFETIVOS;11;;1;SIM;NAO;Cálculos de exoneração e vacância;Elaborar cálculos referentes às exonerações, vacância, cessões, afastamentos sem remuneração;
EFETIVOS;12;;1;SIM;NAO;Restituição de débitos ao erário;"Adotar providências imediatas para a restituição de débitos vinculados à folha de pagamento de pessoal ou ressarcimento ao erário de servidores que vieram de outros órgãos;";
EFETIVOS;13;;1;SIM;NAO;Comunicar teto a órgãos cessionários;Comunicar aos órgãos para os quais os servidores se encontram cedidos o valor da remuneração bruta considerada para o teto constitucional;
EFETIVOS;14;;1;SIM;NAO;Declarações de gratificação natalina;Receber, analisar e lançar declarações acerca da gratificação natalina de servidores que vieram de outros órgãos;
EFETIVOS;15;;1;SIM;NAO;Documentos de tempo de contribuição;"Emitir documentos complementares e necessários às declarações e certidões relativas à comprovação do tempo de contribuição;";
EFETIVOS;16;;1;SIM;NAO;Ofício de ressarcimento a órgãos;Enviar ofício solicitando ressarcimento aos órgãos em que os servidores encontram-se cedidos sem ônus para a Câmara;
EFETIVOS;17;;1;SIM;NAO;Receber, verificar e realizar o lançamento;Receber, verificar e realizar o lançamento dos comprovantes de recolhimento da CPSSS dos servidores afastados sem remuneração;
EFETIVOS;18;;1;SIM;NAO;Patronal de afastados sem remuneração;Consolidar e encaminhar o pagamento da patronal dos servidores afastados sem remuneração e que optam por continuar com o recolhimento;
EFETIVOS;19;;1;SIM;NAO;Retroativo de abono de permanência;Calcular pagamento retroativo referente à aprovação do abono de permanência;
EFETIVOS;20;;1;SIM;NAO;Realizar controle de débito das penhoras;Realizar controle de débito das penhoras judiciais e dos servidores que estão ressarcindo o erário do órgão anterior à sua posse na Câmara;
EFETIVOS;21;;1;SIM;NAO;Manutenção de SQL e VBA;Manutenção de códigos de programação em SQL e VBA;
EFETIVOS;22;;1;SIM;NAO;Restituição por perda de patrimônio;Lançamento de valores relativos a restituições ao erário da Câmara por parte dos servidores efetivos, provenientes de perdas de patrimônio físico;
INATIVOS_PENSIONISTAS;1;;1;NAO;NAO;Gerir a folha de pagamento normal;Gerir a folha de pagamento normal e complementar de servidores inativos, pensionistas civis e beneficiários externos;Folha aberta para lançamentos em contracheque e ajustes em ficha financeira
INATIVOS_PENSIONISTAS;1.1;1;2;SIM;SIM;Lançamentos de folha normal e complementar;Lançamentos de folha normal e complementar;Folha aberta para lançamentos em contracheque e ajustes em ficha financeira
INATIVOS_PENSIONISTAS;1.2;1;2;SIM;SIM;Fechamento de folha normal e complementar;Fechamento de folha normal e complementar;Folha fechada para geração de relatórios para o DEFIN
INATIVOS_PENSIONISTAS;1.3;1;2;NAO;NAO;Gerar relatórios de conferência da folha;Gerar relatórios de conferência da folha;Inconsistências localizadas e sanadas
INATIVOS_PENSIONISTAS;1.3.1;1.3;3;SIM;SIM;Inconsistências de Folha em Preparação;Inconsistências de Folha em Preparação;Inconsistências localizadas e sanadas
INATIVOS_PENSIONISTAS;1.3.2;1.3;3;SIM;SIM;Inconsistências de Contratos de Consignação;Inconsistências de Contratos de Consignação;Inconsistências localizadas e sanadas
INATIVOS_PENSIONISTAS;1.3.3;1.3;3;SIM;SIM;Beneficiários com Recebedores Inconsistentes;Beneficiários com Recebedores Inconsistentes;Inconsistências localizadas e sanadas
INATIVOS_PENSIONISTAS;1.3.4;1.3;3;SIM;SIM;Valor Líquido Negativo;Valor Líquido Negativo;Inconsistências localizadas e sanadas
INATIVOS_PENSIONISTAS;1.3.5;1.3;3;SIM;SIM;Lançamentos Manuais Não Pagos;Lançamentos Manuais Não Pagos;Inconsistências localizadas e sanadas
INATIVOS_PENSIONISTAS;1.3.6;1.3;3;SIM;SIM;Relatórios queries de conferência;relatórios queries de conferência;Inconsistências localizadas e sanadas
INATIVOS_PENSIONISTAS;1.4;1;2;SIM;SIM;Realizar conferência dos valores;Realizar conferência dos valores dos relatórios emitidos pelo SIGESP-CD e proceder com as correções necessárias;Inconsistências localizadas e sanadas
INATIVOS_PENSIONISTAS;1.5;1;2;SIM;SIM;Gerar DCAPs programados para o mês;Gerar DCAPs programados para o mês de depósitos judiciais e encaminhar para o financeiro;Folha aberta para lançamentos em contracheque
INATIVOS_PENSIONISTAS;1.6;1;2;SIM;SIM;Realizar cálculos retroativos necessários;Realizar cálculos retroativos necessários e conferência de valores;Folha aberta para lançamentos em contracheque
INATIVOS_PENSIONISTAS;1.7;1;2;SIM;SIM;Importação de arquivos do pró-saúde;Importação de arquivos do pró-saúde;Folha aberta para lançamentos em contracheque
INATIVOS_PENSIONISTAS;1.8;1;2;SIM;SIM;Importação de arquivos de consignações;Importação de arquivos de consignações;Folha aberta para lançamentos em contracheque
INATIVOS_PENSIONISTAS;1.9;1;2;NAO;NAO;Gestão da folha de beneficiários externos;Gestão da folha de beneficiários externos (Grupo 12);Folha aberta para lançamentos em contracheque
INATIVOS_PENSIONISTAS;1.9.1;1.9;3;SIM;SIM;Criar Cadastro de beneficiários externos;Criar Cadastro de beneficiários externos no Sigesp-CD, com dados pessoais e bancários;Folha aberta para lançamentos em contracheque
INATIVOS_PENSIONISTAS;1.9.2;1.9;3;SIM;SIM;Instruir processos de valores pendentes;Instruir processos de valores pendentes com escritura pública ou ou alvará judicial, além de despachos;Folha aberta para lançamentos em contracheque
INATIVOS_PENSIONISTAS;2;;1;NAO;NAO;Manter planilhas de controle interno;"Organizar e manter atualizada a área de trabalho compartilhada e as planilhas de controle interno dos registros relativos ao pagamento de proventos e pensões;";
INATIVOS_PENSIONISTAS;2.1;2;2;SIM;NAO;Depósitos Judiciais;Depósitos Judiciais;
